date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
3/13/2021,2021,USC,0,0,Concordia,USC,0,1,1,3,76,99,,,,,,,,
3/13/2021,2021,Charleston,0,0,GMU,Charleston,1,0,3,0,75,65,,,,,,,,
3/13/2021,2021,Lees,0,0,Belmont,Lees,0,1,2,3,105,103,,,,,,,,
3/13/2021,2021,Limestone,0,0,Jamestown,Limestone,1,0,3,2,104,103,,,,,,,,
3/13/2021,2021,Queens,0,0,LMU,Queens,0,1,2,3,103,115,,,,,,,,
3/14/2021,2021,LImestone,0,0,LMU,Limestone,1,0,3,0,79,69,,,,,,,,
3/14/2021,2021,Elmira,0,0,Daemen,Elmira,1,0,3,0,75,43,,,,,,,,
3/14/2021,2021,Elmira,0,0,Daemen,Elmira,1,0,3,0,75,52,,,,,,,,
3/16/2021,2021,Emmanuel,0,0,Erskine,Emmanuel,0,1,1,3,83,93,,,,,,,,
3/16/2021,2021,LMU,0,0,King,LMU,0,1,0,3,65,77,,,,,,,,
3/17/2021,2021,GCU,0,0,USC,GCU,0,1,0,3,46,75,,,,,,,,
3/17/2021,2021,Belmont,0,0,Tusculum,Belmont,0,1,0,3,51,75,,,,,,,,
3/17/2021,2021,Greenville,0,0,Limestone,Greenville,0,1,0,3,59,76,,,,,,,,
3/18/2021,2021,Loyola,0,0,McKendree,Loyola,0,1,0,3,67,75,,,,,,,,
3/18/2021,2021,Queens,0,0,Olive,Queens,0,1,0,3,51,75,,,,,,,,
3/19/2021,2021,Pepperdine,0,0,BYU,Pepperdine,1,0,3,1,95,80,,,,,,,,
3/19/2021,2021,NJIT,0,0,Penn,NJIT,1,0,3,0,83,75,,,,,,,,
3/19/2021,2021,Stanford,0,0,GCU,Stanford,0,1,0,3,67,75,,,,,,,,
3/19/2021,2021,Quincy,0,0,Ball,Quincy,1,0,3,1,98,74,,,,,,,,
3/19/2021,2021,Charleston,0,0,SFU,Charleston,1,0,3,2,104,102,,,,,,,,
3/19/2021,2021,Lindenwood,0,0,Lewis,Lindenwood,1,0,3,0,82,65,,,,,,,,
3/19/2021,2021,Loyola,0,0,McKendree,Loyola,0,1,1,3,86,95,,,,,,,,
3/19/2021,2021,PFW,0,0,Ohio,PFW,1,0,3,1,97,90,,,,,,,,
3/19/2021,2021,Erskine,0,0,Belmont,Erskine,1,0,3,0,75,56,,,,,,,,
3/19/2021,2021,Emmanuel,0,0,Greenville,Emmanuel,0,1,2,3,103,98,,,,,,,,
3/19/2021,2021,King,0,0,Limestone,King,1,0,3,0,79,63,,,,,,,,
3/19/2021,2021,LMU,0,0,Tusculum,LMU,0,1,0,3,55,75,,,,,,,,
3/20/2021,2021,Pepperdine,0,0,BYU,Pepperdine,1,0,3,0,75,55,,,,,,,,
3/20/2021,2021,UCSB,0,0,LBSU,UCSB,0,1,1,3,83,100,,,,,,,,
3/20/2021,2021,NJIT,0,0,Penn,NJIT,1,0,3,0,75,59,,,,,,,,
3/20/2021,2021,Stanford,0,0,GCU,Stanford,1,0,3,1,98,75,,,,,,,,
3/20/2021,2021,UCI,0,0,CSUN,UCI,0,1,1,3,81,97,,,,,,,,
3/20/2021,2021,Quincy,0,0,Ball,Quincy,1,0,3,0,75,57,,,,,,,,
3/20/2021,2021,Charleston,0,0,SFU,Charleston,1,0,3,0,75,59,,,,,,,,
3/20/2021,2021,PFW,0,0,Ohio,PFW,0,1,1,3,90,98,,,,,,,,
3/20/2021,2021,Queens,0,0,Barton,Queens,0,1,1,3,82,105,,,,,,,,
3/20/2021,2021,Emmanuel,0,0,Belmont,Emmanuel,1,0,3,1,97,85,,,,,,,,
3/21/2021,2021,LBSU,0,0,UCSB,LBSU,0,1,1,3,87,98,,,,,,,,
3/21/2021,2021,CSUN,0,0,UCI,CSUN,0,1,1,3,74,97,,,,,,,,
3/21/2021,2021,Lindenwood,0,0,Lewis,Lindenwood,1,0,3,0,81,69,,,,,,,,
3/21/2021,2021,Alderson,0,0,Tusculum,Alderson,1,0,3,1,98,72,,,,,,,,
3/21/2021,2021,GMU,0,0,Sacred,GMU,0,1,0,3,59,75,,,,,,,,
3/21/2021,2021,GMU,0,0,Sacred,GMU,0,1,0,3,66,80,,,,,,,,
3/22/2021,2021,Daemen,0,0,DYouville,Daemen,0,1,0,3,44,75,,,,,,,,
