date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
2/27/2021,2021,Penn,0,0,GMU,Penn,0,1,0,3,56,75,1392.7516452892605,1430.6268056919864,0.44570815941649067,0.5542918405835093,1379.380400506766,1443.998050474481
3/2/2021,2021,UCLA,0,0,Concordia,UCLA,0,1,0,3,57,75,1313.8520626703514,1370.2099802067512,0.419598390840017,0.580401609159983,1301.2641109451508,1382.7979319319518
3/3/2021,2021,UCSB,0,0,UCSD,UCSB,0,1,1,3,93,101,1323.6434804946011,1350,0.4621425118855642,0.5378574881144358,1309.7792051380343,1363.8642753565668
3/3/2021,2021,Pepperdine,0,0,Stanford,Pepperdine,0,1,0,3,57,75,1321.114283148918,1402.0538467464655,0.38558105608522375,0.6144189439147764,1309.5468514663614,1413.6212784290221
3/4/2021,2021,Concordia,0,0,BYU,Concordia,1,0,3,0,75,58,1403.6028064045954,1301.2641109451508,0.6431606567685624,0.3568393432314377,1414.3079867015385,1290.5589306482077
3/4/2021,2021,UCSB,0,0,UCSD,UCSB,0,1,0,3,56,75,1309.7792051380343,1363.8642753565668,0.4227880132337304,0.5772119867662697,1297.0955647410224,1376.5479157535788
3/5/2021,2021,USC,0,0,BYU,USC,,,,,,,1414.3079867015385,1309.970960583174,0.6457963560098262,0.35420364399017373,1414.3079867015385,1309.970960583174
3/5/2021,2021,UCLA,0,0,Stanford,UCLA,,,,,,,1309.5468514663614,1382.7979319319518,0.39611789310503,0.60388210689497,1309.5468514663614,1382.7979319319518
3/5/2021,2021,GMU,0,0,NJIT,GMU,,,,,,,1402.0198910313884,1379.380400506766,0.5325348107995608,0.4674651892004392,1402.0198910313884,1379.380400506766
3/5/2021,2021,Lewis,0,0,Ball,Lewis,,,,,,,1400.1544322801283,1402.2904018998688,0.49692613134772684,0.5030738686522732,1400.1544322801283,1402.2904018998688
3/5/2021,2021,Penn,0,0,Charleston,Penn,,,,,,,1344.8992354459863,1443.998050474481,0.36113100382916125,0.6388689961708388,1344.8992354459863,1443.998050474481
3/5/2021,2021,SFU,0,0,Sacred,SFU,,,,,,,1269.3907046891457,1199.0509096840717,0.5998663846728962,0.40013361532710373,1269.3907046891457,1199.0509096840717
3/6/2021,2021,UCLA,0,0,Stanford,UCLA,,,,,,,1309.5468514663614,1382.7979319319518,0.39611789310503,0.60388210689497,1309.5468514663614,1382.7979319319518
3/6/2021,2021,GMU,0,0,NJIT,GMU,,,,,,,1402.0198910313884,1379.380400506766,0.5325348107995608,0.4674651892004392,1402.0198910313884,1379.380400506766
3/6/2021,2021,USC,0,0,Concordia,USC,,,,,,,1290.5589306482077,1309.970960583174,0.47209287660336935,0.5279071233966306,1290.5589306482077,1309.970960583174
3/6/2021,2021,Lewis,0,0,Ball,Lewis,,,,,,,1400.1544322801283,1402.2904018998688,0.49692613134772684,0.5030738686522732,1400.1544322801283,1402.2904018998688
3/6/2021,2021,Penn,0,0,Charleston,Penn,,,,,,,1344.8992354459863,1443.998050474481,0.36113100382916125,0.6388689961708388,1344.8992354459863,1443.998050474481
3/6/2021,2021,SFU,0,0,Sacred,SFU,,,,,,,1269.3907046891457,1199.0509096840717,0.5998663846728962,0.40013361532710373,1269.3907046891457,1199.0509096840717
3/11/2021,2021,UCSB,0,0,Hawaii,UCSB,,,,,,,1405.0645247447326,1376.5479157535788,0.5409467917559,0.45905320824410006,1405.0645247447326,1376.5479157535788
3/11/2021,2021,UCLA,0,0,Pepperdine,UCLA,,,,,,,1413.6212784290221,1382.7979319319518,0.5442423500897139,0.45575764991028617,1413.6212784290221,1382.7979319319518
3/11/2021,2021,UCI,0,0,UCSD,UCI,,,,,,,1297.0955647410224,1321.2919947606663,0.4652347253643896,0.5347652746356104,1297.0955647410224,1321.2919947606663
3/11/2021,2021,Concordia,0,0,USC,Concordia,,,,,,,1309.970960583174,1290.5589306482077,0.5279071233966306,0.47209287660336935,1309.970960583174,1290.5589306482077
3/11/2021,2021,Ohio,0,0,Ball,Ohio,,,,,,,1400.1544322801283,1361.3385964224176,0.555629223773656,0.44437077622634413,1400.1544322801283,1361.3385964224176
3/12/2021,2021,UCSB,0,0,Hawaii,UCSB,,,,,,,1405.0645247447326,1376.5479157535788,0.5409467917559,0.45905320824410006,1405.0645247447326,1376.5479157535788
3/12/2021,2021,BYU,0,0,Stanford,BYU,,,,,,,1309.5468514663614,1414.3079867015385,0.3536453960251598,0.6463546039748401,1309.5468514663614,1414.3079867015385
3/12/2021,2021,UCSD,0,0,UCI,UCSD,,,,,,,1321.2919947606663,1297.0955647410224,0.5347652746356104,0.4652347253643896,1321.2919947606663,1297.0955647410224
3/12/2021,2021,Sacred,0,0,NJIT,Sacred,,,,,,,1402.0198910313884,1269.3907046891457,0.6821077111290962,0.3178922888709037,1402.0198910313884,1269.3907046891457
3/12/2021,2021,Charleston,0,0,GMU,Charleston,,,,,,,1379.380400506766,1344.8992354459863,0.5494601057646903,0.45053989423530977,1379.380400506766,1344.8992354459863
3/12/2021,2021,SFU,0,0,Penn,SFU,,,,,,,1443.998050474481,1199.0509096840717,0.8037705314384809,0.19622946856151904,1443.998050474481,1199.0509096840717
3/12/2021,2021,McKendree,0,0,Lewis,McKendree,,,,,,,1402.2904018998688,1447.4558997498164,0.43536530477136326,0.5646346952286367,1402.2904018998688,1447.4558997498164
3/12/2021,2021,Lindenwood,0,0,Quincy,Lindenwood,,,,,,,1308.0728147228272,1281.053319626346,0.5388059788809196,0.46119402111908037,1308.0728147228272,1281.053319626346
3/12/2021,2021,PFW,0,0,Loyola,PFW,,,,,,,1384.077401063896,1345.840502445145,0.5548062274924936,0.44519377250750636,1384.077401063896,1345.840502445145
3/13/2021,2021,UCSB,0,0,Hawaii,UCSB,,,,,,,1405.0645247447326,1376.5479157535788,0.5409467917559,0.45905320824410006,1405.0645247447326,1376.5479157535788
3/13/2021,2021,BYU,0,0,Stanford,BYU,,,,,,,1309.5468514663614,1414.3079867015385,0.3536453960251598,0.6463546039748401,1309.5468514663614,1414.3079867015385
3/13/2021,2021,Pepperdine,0,0,UCLA,Pepperdine,,,,,,,1382.7979319319518,1413.6212784290221,0.45575764991028617,0.5442423500897139,1382.7979319319518,1413.6212784290221
3/13/2021,2021,Sacred,0,0,NJIT,Sacred,,,,,,,1402.0198910313884,1269.3907046891457,0.6821077111290962,0.3178922888709037,1402.0198910313884,1269.3907046891457
3/13/2021,2021,USC,0,0,Concordia,USC,,,,,,,1290.5589306482077,1309.970960583174,0.47209287660336935,0.5279071233966306,1290.5589306482077,1309.970960583174
