date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/24/2020 0:00:00,2020,King,0,0,SFU,King,1,0,3,2,,,,,,,,,,,,,1492.0404542103227,1497.6759528016225,1491.0404542103227,1547.6759528016225,0.4192092990587123,0.5807907009412877,1511.130841905228,1483.5855651067172
1/24/2020 0:00:00,2020,Emmanuel,0,0,Barton,Emmanuel,1,0,3,0,,,,,,,,,,,,,1516.762555251538,1469.1542533907389,1515.762555251538,1519.1542533907389,0.4951191090615747,0.5048808909384254,1536.908981979691,1454.007826662586
1/24/2020 0:00:00,2020,Erskine,0,0,Olive,Erskine,1,0,3,0,,,,,,,,,,,,,1550.174279535842,1498.3341136846702,1549.174279535842,1548.3341136846702,0.5012090934960596,0.4987909065039403,1570.1380067309603,1483.370386489552
1/25/2020 0:00:00,2020,CSUN,0,0,Cal Lu,CSUN,0,1,0,3,,,,,,,,,,,,,1419,1441.098551535913,1419,1491.098551535913,0.3977060082294294,0.6022939917705705,1412.0688197531172,1453.0297317827958
1/25/2020 0:00:00,2020,LBSU,0,0,Pepperdine,LBSU,0,1,1,3,,,,,,,,,,,,,1535.5616018110989,1559.0481409801841,1535.5616018110989,1609.0481409801841,0.3957937133754133,0.6042062866245866,1527.0211237431697,1572.5886190481133
1/25/2020 0:00:00,2020,Stanford,0,0,UCSB,Stanford,1,0,3,0,,,,,,,,,,,,,1559.5114923322672,1533.1160660329533,1559.5114923322672,1583.1160660329533,0.46608245688325317,0.5339175431167469,1580.5290186257696,1517.0985397394509
1/25/2020 0:00:00,2020,Lindenwood,1,0,McKendree,UCSD,0,1,2,3,,,,,,,,,,,,,1514.3723941784535,1529.4044989099143,1514.3723941784535,1523.4044989099143,0.4870046837841681,0.5129953162158319,1501.4289203315952,1547.3479727567726
1/25/2020 0:00:00,2020,Lindenwood,0,0,GCU,Lindenwood,1,0,3,0,,,,,,,,,,,,,1567.692717632843,1495.9363768471026,1562.692717632843,1545.9363768471026,0.5240956335622785,0.4759043664377214,1586.9698486259745,1481.659245853971
1/25/2020 0:00:00,2020,NJIT,0,0,Ball,NJIT,0,1,0,3,,,,,,,,,,,,,1522.115272575882,1532.0527170725716,1520.115272575882,1582.0527170725716,0.411797248504668,0.588202751495332,1514.761355120742,1544.4066345277115
1/25/2020 0:00:00,2020,Lewis,0,0,Charleston,Lewis,0,1,0,3,,,,,,,,,,,,,1446.8682928566045,1519.2856112403158,1445.8682928566045,1569.2856112403158,0.3295000342352943,0.6704999657647057,1441.9832918295456,1529.1706122673747
1/25/2020 0:00:00,2020,Loyola,0,0,Urbana,Loyola,0,1,0,3,,,,,,,,,,,,,1432.6038022083226,1465.185475317009,1432.6038022083226,1515.185475317009,0.3833440590817569,0.6166559409182432,1426.1034804358699,1476.6857970894616
